"geracao","O","B","Y"
0,0.01,0.4942,0.4958
1,0.0126,0.984,0.0034
2,0.0473,0.9527,0
3,0.1023,0.8977,0
4,0.1741,0.8259,0
5,0.259,0.741,0
6,0.3486,0.6514,0
7,0.442,0.558,0
8,0.5356,0.4644,0
9,0.6245,0.3755,0
10,0.7061,0.2939,0
11,0.775,0.225,0
12,0.8351,0.1649,0
13,0.8884,0.1116,0
14,0.9264,0.0736,0
15,0.9547,0.0453,0
16,0.9747,0.0253,0
17,0.987,0.013,0
18,0.9934,0.0066,0
19,0.997,0.003,0
20,0.9994,6e-04,0
21,1,0,0
22,1,0,0
23,1,0,0
24,1,0,0
25,1,0,0
26,1,0,0
27,1,0,0
28,1,0,0
29,1,0,0
30,1,0,0
31,1,0,0
32,1,0,0
33,1,0,0
34,1,0,0
35,1,0,0
36,1,0,0
37,1,0,0
38,1,0,0
39,1,0,0
40,1,0,0
41,1,0,0
42,1,0,0
43,1,0,0
44,1,0,0
45,1,0,0
46,1,0,0
47,1,0,0
48,1,0,0
49,1,0,0
50,1,0,0
51,1,0,0
52,1,0,0
53,1,0,0
54,1,0,0
55,1,0,0
56,1,0,0
57,1,0,0
58,1,0,0
59,1,0,0
60,1,0,0
61,1,0,0
62,1,0,0
63,1,0,0
64,1,0,0
65,1,0,0
66,1,0,0
67,1,0,0
68,1,0,0
69,1,0,0
70,1,0,0
71,1,0,0
72,1,0,0
73,1,0,0
74,1,0,0
75,1,0,0
76,1,0,0
77,1,0,0
78,1,0,0
79,1,0,0
80,1,0,0
81,1,0,0
82,1,0,0
83,1,0,0
84,1,0,0
85,1,0,0
86,1,0,0
87,1,0,0
88,1,0,0
89,1,0,0
90,1,0,0
91,1,0,0
92,1,0,0
93,1,0,0
94,1,0,0
95,1,0,0
96,1,0,0
97,1,0,0
98,1,0,0
99,1,0,0
100,1,0,0
